Statistics,Machine Learning,Deep Learning,R Language,Python Language,,NLP,Data Engineering,Web Development
statisatical modeles,linear regression,neural network,ggplot,Python ,,soacy,sql,html
statisatical modeling,logistic regression,keras,shiny,flask,,nltk,hadoop,css
probability,k means,theano,cran,django,,chat bot,hive,javascript
normal distribution,random forest,face detection,dplyr,pandas,,,,framework
poisson distribution,xgboost,neural networks,tidyr,numpy,,,,website
survival models,svm,cnn,knitr,scikitlearn,,,,bootstrap
hypothesis testing,naïve bayes,yolo,,sklearn,,,,json
bayesian inference,pca,gpu,,matplotlib,,,,ajax
factor analysis,desion tree,cuda,,scipy,,,,angular
forecasting,svd,opencv,,bokhe,,,,react
,,cuda,,statsmodel,,,,php
